"icd_10_pcs","description"
"0T170J8","Bypass Left Ureter to Colon with Synthetic Substitute, Open Approach"
"0T170J9","Bypass Left Ureter to Colocutaneous with Synthetic Substitute, Open Approach"
"0T170JA","Bypass Left Ureter to Ileum with Synthetic Substitute, Open Approach"
"0T170JB","Bypass Left Ureter to Bladder with Synthetic Substitute, Open Approach"
"0T170JC","Bypass Left Ureter to Ileocutaneous with Synthetic Substitute, Open Approach"
"0T170JD","Bypass Left Ureter to Cutaneous with Synthetic Substitute, Open Approach"
"0T170K6","Bypass Left Ureter to Right Ureter with Nonautologous Tissue Substitute, Open Approach"
"0T170K7","Bypass Left Ureter to Left Ureter with Nonautologous Tissue Substitute, Open Approach"
"0T170K8","Bypass Left Ureter to Colon with Nonautologous Tissue Substitute, Open Approach"
"0T170K9","Bypass Left Ureter to Colocutaneous with Nonautologous Tissue Substitute, Open Approach"
"0T170KA","Bypass Left Ureter to Ileum with Nonautologous Tissue Substitute, Open Approach"
"0T170KB","Bypass Left Ureter to Bladder with Nonautologous Tissue Substitute, Open Approach"
"0T170KC","Bypass Left Ureter to Ileocutaneous with Nonautologous Tissue Substitute, Open Approach"
"0T170KD","Bypass Left Ureter to Cutaneous with Nonautologous Tissue Substitute, Open Approach"
"0T170Z6","Bypass Left Ureter to Right Ureter, Open Approach"
"0T170Z7","Bypass Left Ureter to Left Ureter, Open Approach"
"0T170Z8","Bypass Left Ureter to Colon, Open Approach"
"0T170Z9","Bypass Left Ureter to Colocutaneous, Open Approach"
"0T170ZA","Bypass Left Ureter to Ileum, Open Approach"
"0T170ZB","Bypass Left Ureter to Bladder, Open Approach"
"0T170ZC","Bypass Left Ureter to Ileocutaneous, Open Approach"
"0T170ZD","Bypass Left Ureter to Cutaneous, Open Approach"
"0T173JD","Bypass Left Ureter to Cutaneous with Synthetic Substitute, Percutaneous Approach"
"0T17476","Bypass Left Ureter to Right Ureter with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T17477","Bypass Left Ureter to Left Ureter with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T17478","Bypass Left Ureter to Colon with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T17479","Bypass Left Ureter to Colocutaneous with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T1747A","Bypass Left Ureter to Ileum with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T1747B","Bypass Left Ureter to Bladder with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T1747C","Bypass Left Ureter to Ileocutaneous with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T1747D","Bypass Left Ureter to Cutaneous with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T174J6","Bypass Left Ureter to Right Ureter with Synthetic Substitute, Percutaneous Endoscopic Approach"
"0T174J7","Bypass Left Ureter to Left Ureter with Synthetic Substitute, Percutaneous Endoscopic Approach"
"0T174J8","Bypass Left Ureter to Colon with Synthetic Substitute, Percutaneous Endoscopic Approach"
"0T174J9","Bypass Left Ureter to Colocutaneous with Synthetic Substitute, Percutaneous Endoscopic Approach"
"0T174JA","Bypass Left Ureter to Ileum with Synthetic Substitute, Percutaneous Endoscopic Approach"
"0T174JB","Bypass Left Ureter to Bladder with Synthetic Substitute, Percutaneous Endoscopic Approach"
"0T174JC","Bypass Left Ureter to Ileocutaneous with Synthetic Substitute, Percutaneous Endoscopic Approach"
"0T174JD","Bypass Left Ureter to Cutaneous with Synthetic Substitute, Percutaneous Endoscopic Approach"
"0T174K6","Bypass Left Ureter to Right Ureter with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T174K7","Bypass Left Ureter to Left Ureter with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T174K8","Bypass Left Ureter to Colon with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T174K9","Bypass Left Ureter to Colocutaneous with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T174KA","Bypass Left Ureter to Ileum with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T174KB","Bypass Left Ureter to Bladder with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T174KC","Bypass Left Ureter to Ileocutaneous with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T174KD","Bypass Left Ureter to Cutaneous with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T174Z6","Bypass Left Ureter to Right Ureter, Percutaneous Endoscopic Approach"
"0T174Z7","Bypass Left Ureter to Left Ureter, Percutaneous Endoscopic Approach"
"0T174Z8","Bypass Left Ureter to Colon, Percutaneous Endoscopic Approach"
"0T174Z9","Bypass Left Ureter to Colocutaneous, Percutaneous Endoscopic Approach"
"0T174ZA","Bypass Left Ureter to Ileum, Percutaneous Endoscopic Approach"
"0T174ZB","Bypass Left Ureter to Bladder, Percutaneous Endoscopic Approach"
"0T174ZC","Bypass Left Ureter to Ileocutaneous, Percutaneous Endoscopic Approach"
"0T174ZD","Bypass Left Ureter to Cutaneous, Percutaneous Endoscopic Approach"
"0T18076","Bypass Bilateral Ureters to Right Ureter with Autologous Tissue Substitute, Open Approach"
"0T18077","Bypass Bilateral Ureters to Left Ureter with Autologous Tissue Substitute, Open Approach"
"0T18078","Bypass Bilateral Ureters to Colon with Autologous Tissue Substitute, Open Approach"
"0T18079","Bypass Bilateral Ureters to Colocutaneous with Autologous Tissue Substitute, Open Approach"
"0T1807A","Bypass Bilateral Ureters to Ileum with Autologous Tissue Substitute, Open Approach"
"0T1807B","Bypass Bilateral Ureters to Bladder with Autologous Tissue Substitute, Open Approach"
"0T1807C","Bypass Bilateral Ureters to Ileocutaneous with Autologous Tissue Substitute, Open Approach"
"0T1807D","Bypass Bilateral Ureters to Cutaneous with Autologous Tissue Substitute, Open Approach"
"0T180J6","Bypass Bilateral Ureters to Right Ureter with Synthetic Substitute, Open Approach"
"0T180J7","Bypass Bilateral Ureters to Left Ureter with Synthetic Substitute, Open Approach"
"0T180J8","Bypass Bilateral Ureters to Colon with Synthetic Substitute, Open Approach"
"0T180J9","Bypass Bilateral Ureters to Colocutaneous with Synthetic Substitute, Open Approach"
"0T180JA","Bypass Bilateral Ureters to Ileum with Synthetic Substitute, Open Approach"
"0T180JB","Bypass Bilateral Ureters to Bladder with Synthetic Substitute, Open Approach"
"0T180JC","Bypass Bilateral Ureters to Ileocutaneous with Synthetic Substitute, Open Approach"
"0T180JD","Bypass Bilateral Ureters to Cutaneous with Synthetic Substitute, Open Approach"
"0T180K6","Bypass Bilateral Ureters to Right Ureter with Nonautologous Tissue Substitute, Open Approach"
"0T180K7","Bypass Bilateral Ureters to Left Ureter with Nonautologous Tissue Substitute, Open Approach"
"0T180K8","Bypass Bilateral Ureters to Colon with Nonautologous Tissue Substitute, Open Approach"
"0T180K9","Bypass Bilateral Ureters to Colocutaneous with Nonautologous Tissue Substitute, Open Approach"
"0T180KA","Bypass Bilateral Ureters to Ileum with Nonautologous Tissue Substitute, Open Approach"
"0T180KB","Bypass Bilateral Ureters to Bladder with Nonautologous Tissue Substitute, Open Approach"
"0T180KC","Bypass Bilateral Ureters to Ileocutaneous with Nonautologous Tissue Substitute, Open Approach"
"0T180KD","Bypass Bilateral Ureters to Cutaneous with Nonautologous Tissue Substitute, Open Approach"
"0T180Z6","Bypass Bilateral Ureters to Right Ureter, Open Approach"
"0T180Z7","Bypass Bilateral Ureters to Left Ureter, Open Approach"
"0T180Z8","Bypass Bilateral Ureters to Colon, Open Approach"
"0T180Z9","Bypass Bilateral Ureters to Colocutaneous, Open Approach"
"0T180ZA","Bypass Bilateral Ureters to Ileum, Open Approach"
"0T180ZB","Bypass Bilateral Ureters to Bladder, Open Approach"
"0T180ZC","Bypass Bilateral Ureters to Ileocutaneous, Open Approach"
"0T180ZD","Bypass Bilateral Ureters to Cutaneous, Open Approach"
"0T183JD","Bypass Bilateral Ureters to Cutaneous with Synthetic Substitute, Percutaneous Approach"
"0T18476","Bypass Bilateral Ureters to Right Ureter with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T18477","Bypass Bilateral Ureters to Left Ureter with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T18478","Bypass Bilateral Ureters to Colon with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T18479","Bypass Bilateral Ureters to Colocutaneous with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T1847A","Bypass Bilateral Ureters to Ileum with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T1847B","Bypass Bilateral Ureters to Bladder with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T1847C","Bypass Bilateral Ureters to Ileocutaneous with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T1847D","Bypass Bilateral Ureters to Cutaneous with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T184J6","Bypass Bilateral Ureters to Right Ureter with Synthetic Substitute, Percutaneous Endoscopic Approach"
"0T184J7","Bypass Bilateral Ureters to Left Ureter with Synthetic Substitute, Percutaneous Endoscopic Approach"
"0T184J8","Bypass Bilateral Ureters to Colon with Synthetic Substitute, Percutaneous Endoscopic Approach"
"0T184J9","Bypass Bilateral Ureters to Colocutaneous with Synthetic Substitute, Percutaneous Endoscopic Approach"
"0T184JA","Bypass Bilateral Ureters to Ileum with Synthetic Substitute, Percutaneous Endoscopic Approach"
"0T184JB","Bypass Bilateral Ureters to Bladder with Synthetic Substitute, Percutaneous Endoscopic Approach"
"0T184JC","Bypass Bilateral Ureters to Ileocutaneous with Synthetic Substitute, Percutaneous Endoscopic Approach"
"0T184JD","Bypass Bilateral Ureters to Cutaneous with Synthetic Substitute, Percutaneous Endoscopic Approach"
"0T184K6","Bypass Bilateral Ureters to Right Ureter with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T184K7","Bypass Bilateral Ureters to Left Ureter with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T184K8","Bypass Bilateral Ureters to Colon with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T184K9","Bypass Bilateral Ureters to Colocutaneous with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T184KA","Bypass Bilateral Ureters to Ileum with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T184KB","Bypass Bilateral Ureters to Bladder with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T184KC","Bypass Bilateral Ureters to Ileocutaneous with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T184KD","Bypass Bilateral Ureters to Cutaneous with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T184Z6","Bypass Bilateral Ureters to Right Ureter, Percutaneous Endoscopic Approach"
"0T184Z7","Bypass Bilateral Ureters to Left Ureter, Percutaneous Endoscopic Approach"
"0T184Z8","Bypass Bilateral Ureters to Colon, Percutaneous Endoscopic Approach"
"0T184Z9","Bypass Bilateral Ureters to Colocutaneous, Percutaneous Endoscopic Approach"
"0T184ZA","Bypass Bilateral Ureters to Ileum, Percutaneous Endoscopic Approach"
"0T184ZB","Bypass Bilateral Ureters to Bladder, Percutaneous Endoscopic Approach"
"0T184ZC","Bypass Bilateral Ureters to Ileocutaneous, Percutaneous Endoscopic Approach"
"0T184ZD","Bypass Bilateral Ureters to Cutaneous, Percutaneous Endoscopic Approach"
"0T1B079","Bypass Bladder to Colocutaneous with Autologous Tissue Substitute, Open Approach"
"0T1B07C","Bypass Bladder to Ileocutaneous with Autologous Tissue Substitute, Open Approach"
"0T1B07D","Bypass Bladder to Cutaneous with Autologous Tissue Substitute, Open Approach"
"0T1B0J9","Bypass Bladder to Colocutaneous with Synthetic Substitute, Open Approach"
"0T1B0JC","Bypass Bladder to Ileocutaneous with Synthetic Substitute, Open Approach"
"0T1B0JD","Bypass Bladder to Cutaneous with Synthetic Substitute, Open Approach"
"0T1B0K9","Bypass Bladder to Colocutaneous with Nonautologous Tissue Substitute, Open Approach"
"0T1B0KC","Bypass Bladder to Ileocutaneous with Nonautologous Tissue Substitute, Open Approach"
"0T1B0KD","Bypass Bladder to Cutaneous with Nonautologous Tissue Substitute, Open Approach"
"0T1B0Z9","Bypass Bladder to Colocutaneous, Open Approach"
"0T1B0ZC","Bypass Bladder to Ileocutaneous, Open Approach"
"0T1B0ZD","Bypass Bladder to Cutaneous, Open Approach"
"0T1B3JD","Bypass Bladder to Cutaneous with Synthetic Substitute, Percutaneous Approach"
"0T1B479","Bypass Bladder to Colocutaneous with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T1B47C","Bypass Bladder to Ileocutaneous with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T1B47D","Bypass Bladder to Cutaneous with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T1B4J9","Bypass Bladder to Colocutaneous with Synthetic Substitute, Percutaneous Endoscopic Approach"
"0T1B4JC","Bypass Bladder to Ileocutaneous with Synthetic Substitute, Percutaneous Endoscopic Approach"
"0T1B4JD","Bypass Bladder to Cutaneous with Synthetic Substitute, Percutaneous Endoscopic Approach"
"0T1B4K9","Bypass Bladder to Colocutaneous with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T1B4KC","Bypass Bladder to Ileocutaneous with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T1B4KD","Bypass Bladder to Cutaneous with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"0T1B4Z9","Bypass Bladder to Colocutaneous, Percutaneous Endoscopic Approach"
"0T1B4ZC","Bypass Bladder to Ileocutaneous, Percutaneous Endoscopic Approach"
"0T1B4ZD","Bypass Bladder to Cutaneous, Percutaneous Endoscopic Approach"
"0T500ZZ","Destruction of Right Kidney, Open Approach"
"0T503ZZ","Destruction of Right Kidney, Percutaneous Approach"
"0T504ZZ","Destruction of Right Kidney, Percutaneous Endoscopic Approach"
"0T510ZZ","Destruction of Left Kidney, Open Approach"
"0T513ZZ","Destruction of Left Kidney, Percutaneous Approach"
"0T514ZZ","Destruction of Left Kidney, Percutaneous Endoscopic Approach"
"0T530ZZ","Destruction of Right Kidney Pelvis, Open Approach"
"0T533ZZ","Destruction of Right Kidney Pelvis, Percutaneous Approach"
"0T534ZZ","Destruction of Right Kidney Pelvis, Percutaneous Endoscopic Approach"
"0T540ZZ","Destruction of Left Kidney Pelvis, Open Approach"
"0T543ZZ","Destruction of Left Kidney Pelvis, Percutaneous Approach"
"0T544ZZ","Destruction of Left Kidney Pelvis, Percutaneous Endoscopic Approach"
"0T560ZZ","Destruction of Right Ureter, Open Approach"
"0T563ZZ","Destruction of Right Ureter, Percutaneous Approach"
"0T564ZZ","Destruction of Right Ureter, Percutaneous Endoscopic Approach"
"0T570ZZ","Destruction of Left Ureter, Open Approach"
"0T573ZZ","Destruction of Left Ureter, Percutaneous Approach"
"0T574ZZ","Destruction of Left Ureter, Percutaneous Endoscopic Approach"
"0T5B0ZZ","Destruction of Bladder, Open Approach"
"0T5B3ZZ","Destruction of Bladder, Percutaneous Approach"
"0T5B4ZZ","Destruction of Bladder, Percutaneous Endoscopic Approach"
"0T5B7ZZ","Destruction of Bladder, Via Natural or Artificial Opening"
"0T5B8ZZ","Destruction of Bladder, Via Natural or Artificial Opening Endoscopic"
"0T5C0ZZ","Destruction of Bladder Neck, Open Approach"
"0T5C3ZZ","Destruction of Bladder Neck, Percutaneous Approach"
"0T5C4ZZ","Destruction of Bladder Neck, Percutaneous Endoscopic Approach"
"0T5C7ZZ","Destruction of Bladder Neck, Via Natural or Artificial Opening"
"0T5C8ZZ","Destruction of Bladder Neck, Via Natural or Artificial Opening Endoscopic"
"0T730DZ","Dilation of Right Kidney Pelvis with Intraluminal Device, Open Approach"
"0T730ZZ","Dilation of Right Kidney Pelvis, Open Approach"
"0T733DZ","Dilation of Right Kidney Pelvis with Intraluminal Device, Percutaneous Approach"
"0T733ZZ","Dilation of Right Kidney Pelvis, Percutaneous Approach"
"0T734DZ","Dilation of Right Kidney Pelvis with Intraluminal Device, Percutaneous Endoscopic Approach"
"0T734ZZ","Dilation of Right Kidney Pelvis, Percutaneous Endoscopic Approach"
"0T737DZ","Dilation of Right Kidney Pelvis with Intraluminal Device, Via Natural or Artificial Opening"
"0T737ZZ","Dilation of Right Kidney Pelvis, Via Natural or Artificial Opening"
"0T738DZ","Dilation of Right Kidney Pelvis with Intraluminal Device, Via Natural or Artificial Opening Endoscopic"
"0T738ZZ","Dilation of Right Kidney Pelvis, Via Natural or Artificial Opening Endoscopic"
"0T740DZ","Dilation of Left Kidney Pelvis with Intraluminal Device, Open Approach"
"0T740ZZ","Dilation of Left Kidney Pelvis, Open Approach"
"0T743DZ","Dilation of Left Kidney Pelvis with Intraluminal Device, Percutaneous Approach"
