"icd_10_cm","description"
"S31152A","Open bite of abdominal wall, epigastric region without penetration into peritoneal cavity, initial encounter"
"S31153A","Open bite of abdominal wall, right lower quadrant without penetration into peritoneal cavity, initial encounter"
"S31154A","Open bite of abdominal wall, left lower quadrant without penetration into peritoneal cavity, initial encounter"
"S31155A","Open bite of abdominal wall, periumbilic region without penetration into peritoneal cavity, initial encounter"
"S31159A","Open bite of abdominal wall, unspecified quadrant without penetration into peritoneal cavity, initial encounter"
"S3120XA","Unspecified open wound of penis, initial encounter"
"S3121XA","Laceration without foreign body of penis, initial encounter"
"S3122XA","Laceration with foreign body of penis, initial encounter"
"S3123XA","Puncture wound without foreign body of penis, initial encounter"
"S3124XA","Puncture wound with foreign body of penis, initial encounter"
"S3125XA","Open bite of penis, initial encounter"
"S3130XA","Unspecified open wound of scrotum and testes, initial encounter"
"S3131XA","Laceration without foreign body of scrotum and testes, initial encounter"
"S3132XA","Laceration with foreign body of scrotum and testes, initial encounter"
"S3133XA","Puncture wound without foreign body of scrotum and testes, initial encounter"
"S3134XA","Puncture wound with foreign body of scrotum and testes, initial encounter"
"S3135XA","Open bite of scrotum and testes, initial encounter"
"S3140XA","Unspecified open wound of vagina and vulva, initial encounter"
"S3141XA","Laceration without foreign body of vagina and vulva, initial encounter"
"S3142XA","Laceration with foreign body of vagina and vulva, initial encounter"
"S3143XA","Puncture wound without foreign body of vagina and vulva, initial encounter"
"S3144XA","Puncture wound with foreign body of vagina and vulva, initial encounter"
"S3145XA","Open bite of vagina and vulva, initial encounter"
"S31501A","Unspecified open wound of unspecified external genital organs, male, initial encounter"
"S31502A","Unspecified open wound of unspecified external genital organs, female, initial encounter"
"S31511A","Laceration without foreign body of unspecified external genital organs, male, initial encounter"
"S31512A","Laceration without foreign body of unspecified external genital organs, female, initial encounter"
"S31521A","Laceration with foreign body of unspecified external genital organs, male, initial encounter"
"S31522A","Laceration with foreign body of unspecified external genital organs, female, initial encounter"
"S31531A","Puncture wound without foreign body of unspecified external genital organs, male, initial encounter"
"S31532A","Puncture wound without foreign body of unspecified external genital organs, female, initial encounter"
"S31541A","Puncture wound with foreign body of unspecified external genital organs, male, initial encounter"
"S31542A","Puncture wound with foreign body of unspecified external genital organs, female, initial encounter"
"S31551A","Open bite of unspecified external genital organs, male, initial encounter"
"S31552A","Open bite of unspecified external genital organs, female, initial encounter"
"S31600A","Unspecified open wound of abdominal wall, right upper quadrant with penetration into peritoneal cavity, initial encounter"
"S31601A","Unspecified open wound of abdominal wall, left upper quadrant with penetration into peritoneal cavity, initial encounter"
"S31602A","Unspecified open wound of abdominal wall, epigastric region with penetration into peritoneal cavity, initial encounter"
"S31603A","Unspecified open wound of abdominal wall, right lower quadrant with penetration into peritoneal cavity, initial encounter"
"S31604A","Unspecified open wound of abdominal wall, left lower quadrant with penetration into peritoneal cavity, initial encounter"
"S31605A","Unspecified open wound of abdominal wall, periumbilic region with penetration into peritoneal cavity, initial encounter"
"S31609A","Unspecified open wound of abdominal wall, unspecified quadrant with penetration into peritoneal cavity, initial encounter"
"S31610A","Laceration without foreign body of abdominal wall, right upper quadrant with penetration into peritoneal cavity, initial encounter"
"S31611A","Laceration without foreign body of abdominal wall, left upper quadrant with penetration into peritoneal cavity, initial encounter"
"S31612A","Laceration without foreign body of abdominal wall, epigastric region with penetration into peritoneal cavity, initial encounter"
"S31613A","Laceration without foreign body of abdominal wall, right lower quadrant with penetration into peritoneal cavity, initial encounter"
"S31614A","Laceration without foreign body of abdominal wall, left lower quadrant with penetration into peritoneal cavity, initial encounter"
"S31615A","Laceration without foreign body of abdominal wall, periumbilic region with penetration into peritoneal cavity, initial encounter"
"S31619A","Laceration without foreign body of abdominal wall, unspecified quadrant with penetration into peritoneal cavity, initial encounter"
"S31620A","Laceration with foreign body of abdominal wall, right upper quadrant with penetration into peritoneal cavity, initial encounter"
"S31621A","Laceration with foreign body of abdominal wall, left upper quadrant with penetration into peritoneal cavity, initial encounter"
"S31622A","Laceration with foreign body of abdominal wall, epigastric region with penetration into peritoneal cavity, initial encounter"
"S31623A","Laceration with foreign body of abdominal wall, right lower quadrant with penetration into peritoneal cavity, initial encounter"
"S31624A","Laceration with foreign body of abdominal wall, left lower quadrant with penetration into peritoneal cavity, initial encounter"
"S31625A","Laceration with foreign body of abdominal wall, periumbilic region with penetration into peritoneal cavity, initial encounter"
"S31629A","Laceration with foreign body of abdominal wall, unspecified quadrant with penetration into peritoneal cavity, initial encounter"
"S31630A","Puncture wound without foreign body of abdominal wall, right upper quadrant with penetration into peritoneal cavity, initial encounter"
"S31631A","Puncture wound without foreign body of abdominal wall, left upper quadrant with penetration into peritoneal cavity, initial encounter"
"S31632A","Puncture wound without foreign body of abdominal wall, epigastric region with penetration into peritoneal cavity, initial encounter"
"S31633A","Puncture wound without foreign body of abdominal wall, right lower quadrant with penetration into peritoneal cavity, initial encounter"
"S31634A","Puncture wound without foreign body of abdominal wall, left lower quadrant with penetration into peritoneal cavity, initial encounter"
"S31635A","Puncture wound without foreign body of abdominal wall, periumbilic region with penetration into peritoneal cavity, initial encounter"
"S31639A","Puncture wound without foreign body of abdominal wall, unspecified quadrant with penetration into peritoneal cavity, initial encounter"
"S31640A","Puncture wound with foreign body of abdominal wall, right upper quadrant with penetration into peritoneal cavity, initial encounter"
