"icd_9_pcs","long_description","short_description"
7646,Other reconstruction of other facial bone,Facial bone reconstr NEC
765,Temporomandibular arthroplasty,Temporomand arthroplasty
7661,Closed osteoplasty [osteotomy] of mandibular ramus,Cl osteoplasty mand rami
7662,Open osteoplasty [osteotomy] of mandibular ramus,Open osteoplas mand rami
7663,Osteoplasty [osteotomy] of body of mandible,Osteoplasty mandible bdy
7664,Other orthognathic surgery on mandible,Mand orthognathic op NEC
7665,Segmental osteoplasty [osteotomy] of maxilla,Seg osteoplasty maxilla
7666,Total osteoplasty [osteotomy] of maxilla,Tot osteoplasty maxilla
7667,Reduction genioplasty,Reduction genioplasty
7668,Augmentation genioplasty,Augmentation genioplasty
7669,Other facial bone repair,Facial bone repair NEC
7670,"Reduction of facial fracture, not otherwise specified",Reduction facial fx NOS
7671,Closed reduction of malar and zygomatic fracture,Cl reduct malar/zygo fx
7672,Open reduction of malar and zygomatic fracture,Opn reduct malar/zygo fx
7673,Closed reduction of maxillary fracture,Cl reduct maxillary fx
7674,Open reduction of maxillary fracture,Open reduct maxillary fx
7675,Closed reduction of mandibular fracture,Cl reduct mandible fx
7676,Open reduction of mandibular fracture,Open reduct mandible fx
7677,Open reduction of alveolar fracture,Open reduct alveolar fx
7678,Other closed reduction of facial fracture,Cl reduct facial fx NEC
7679,Other open reduction of facial fracture,Open reduct face fx NEC
7691,Bone graft to facial bone,Bone graft to face bone
7692,Insertion of synthetic implant in facial bone,Syn implant to face bone
7693,Closed reduction of temporomandibular dislocation,Clos reduct tm dislocat
7694,Open reduction of temporomandibular dislocation,Open reduct tm dislocat
7695,Other manipulation of temporomandibular joint,Tm manipulation NEC
7696,Injection of therapeutic substance into temporomandibular joint,Injec therap sbst tm jnt
7697,Removal of internal fixation device from facial bone,Remove int fix face bone
7699,Other operations on facial bones and joints,Facial bone/jnt op NEC
7700,"Sequestrectomy, unspecified site",Sequestrectomy NOS
7701,"Sequestrectomy, scapula, clavicle, and thorax [ribs and sternum]",Chest cage sequestrec
7702,"Sequestrectomy, humerus",Humerus sequestrectomy
7703,"Sequestrectomy, radius and ulna",Radius & ulna sequestrec
7704,"Sequestrectomy, carpals and metacarpals",Metacarp/carp sequestrec
7705,"Sequestrectomy, femur",Femoral sequestrectomy
7706,"Sequestrectomy, patella",Patellar sequestrectomy
7707,"Sequestrectomy, tibia and fibula",Tibia/fibula sequestrec
7708,"Sequestrectomy, tarsals and metatarsals",Metatar/tar sequestrec
7709,"Sequestrectomy, other bones",Sequestrectomy NEC
7710,"Other incision of bone without division, unspecified site",Other bone incision NOS
7711,"Other incision of bone without division, scapula, clavicle, and thorax [ribs and sternum]",Other chest cage incis
7712,"Other incision of bone without division, humerus",Other humerus incision
7713,"Other incision of bone without division, radius and ulna",Other radius/ulna incis
7714,"Other incision of bone without division, carpals and metacarpals",Oth metacarp/carp incis
7715,"Other incision of bone without division, femur",Other femoral incision
7716,"Other incision of bone without division, patella",Other patellar incision
7717,"Other incision of bone without division, tibia and fibula",Other tibia/fibula incis
7718,"Other incision of bone without division, tarsals and metatarsals",Oth metatars/tars incis
7719,"Other incision of bone without division, other bones",Bone incis w/o div NEC
7720,"Wedge osteotomy, unspecified site",Wedge osteotomy NOS
7721,"Wedge osteotomy, scapula, clavicle, and thorax [ribs and sternum]",Chest cage wedg osteotom
7722,"Wedge osteotomy, humerus",Humerus wedge osteotomy
7723,"Wedge osteotomy, radius and ulna",Radius/ulna wedg osteoto
7724,"Wedge osteotomy, carpals and metacarpals",Metacar/car wedg osteoto
7725,"Wedge osteotomy, femur",Femoral wedge osteotomy
7726,"Wedge osteotomy, patella",Patellar wedge osteotomy
7727,"Wedge osteotomy, tibia and fibula",Tibia/fibul wedg osteot
7728,"Wedge osteotomy, tarsals and metatarsals",Metatar/tar wedg osteot
7729,"Wedge osteotomy, other bones",Wedge osteotomy NEC
7730,"Other division of bone, unspecified site",Other bone division NOS
7731,"Other division of bone, scapula, clavicle, and thorax [ribs and sternum]",Chest cage bone div NEC
7732,"Other division of bone, humerus",Humerus division NEC
7733,"Other division of bone, radius and ulna",Radius/ulna division NEC
7734,"Other division of bone, carpals and metacarpals",Metacar/car division NEC
7735,"Other division of bone, femur",Femoral division NEC
7736,"Other division of bone, patella",Patellar division NEC
7737,"Other division of bone, tibia and fibula",Tibia/fibula div NEC
7738,"Other division of bone, tarsals and metatarsals",Metatar/tar division NEC
7739,"Other division of bone, other bones",Bone division NEC
7740,"Biopsy of bone, unspecified site",Bone biopsy NOS
7741,"Biopsy of bone, scapula, clavicle, and thorax [ribs and sternum]",Chest cage bone biopsy
7742,"Biopsy of bone, humerus",Humerus biopsy
7743,"Biopsy of bone, radius and ulna",Radius & ulna biopsy
7744,"Biopsy of bone, carpals and metacarpals",Metacarpal/carpal biopsy
7745,"Biopsy of bone, femur",Femoral biopsy
7746,"Biopsy of bone, patella",Patellar biopsy
7747,"Biopsy of bone, tibia and fibula",Tibia & fibula biopsy
7748,"Biopsy of bone, tarsals and metatarsals",Metatarsal/tarsal biopsy
7749,"Biopsy of bone, other bones",Bone biopsy NEC
7751,Bunionectomy with soft tissue correction and osteotomy of the first metatarsal,Bunionect/sft/osteotomy
7752,Bunionectomy with soft tissue correction and arthrodesis,Bunionect/sft/arthrodes
7753,Other bunionectomy with soft tissue correction,Oth bunionect w sft corr
7754,Excision or correction of bunionette,Exc correct bunionette
7756,Repair of hammer toe,Repair of hammer toe
7757,Repair of claw toe,Repair of claw toe
7758,"Other excision, fusion and repair of toes","Oth exc, fus, repair toe"
7759,Other bunionectomy,Bunionectomy NEC
7760,"Local excision of lesion or tissue of bone, unspecified site",Loc exc bone lesion NOS
7761,"Local excision of lesion or tissue of bone, scapula, clavicle, and thorax [ribs and sternum]",Exc chest cage bone les
7762,"Local excision of lesion or tissue of bone, humerus",Loc exc bone les humerus
7763,"Local excision of lesion or tissue of bone, radius and ulna",Loc exc les radius/ulna
7764,"Local excision of lesion or tissue of bone, carpals and metacarpals",Loc exc les metacar/car
7765,"Local excision of lesion or tissue of bone, femur",Loc exc bone les femur
7766,"Local excision of lesion or tissue of bone, patella",Loc exc bone les patella
7767,"Local excision of lesion or tissue of bone, tibia and fibula",Loc exc les tibia/fibula
7768,"Local excision of lesion or tissue of bone, tarsals and metatarsals",Loc exc les metatar/tar
7769,"Local excision of lesion or tissue of bone, other bones",Loc exc bone lesion NEC
7770,"Excision of bone for graft, unspecified site",Excise bone for grft NOS
7771,"Excision of bone for graft, scapula, clavicle, and thorax [ribs and sternum]",Ex chest cage bone-gft
7772,"Excision of bone for graft, humerus",Excise humerus for graft
7773,"Excision of bone for graft, radius and ulna",Excis radius/ulna-graft
7774,"Excision of bone for graft, carpals and metacarpals",Excis metacar/car-graft
7775,"Excision of bone for graft, femur",Excise femur for graft
7776,"Excision of bone for graft, patella",Excise patella for graft
7777,"Excision of bone for graft, tibia and fibula",Excise tib/fib for graft
7778,"Excision of bone for graft, tarsals and metatarsals",Excis metatar/tar-graft
7779,"Excision of bone for graft, other bones",Excise bone for gft NEC
7780,"Other partial ostectomy, unspecified site",Oth part ostectomy NOS
7781,"Other partial ostectomy, scapula, clavicle, and thorax [ribs and sternum]",Oth chest cage ostectomy
7782,"Other partial ostectomy, humerus",Partial humerectomy NEC
7783,"Other partial ostectomy, radius and ulna",Part ostect-radius/ulna
7784,"Other partial ostectomy, carpals and metacarpals",Part ostect-metacar/car
7785,"Other partial ostectomy, femur",Part ostectomy-femur
7786,"Other partial ostectomy, patella",Partial patellectomy
7787,"Other partial ostectomy, tibia and fibula",Part ostect-tibia/fibula
7788,"Other partial ostectomy, tarsals and metatarsals",Part ostect-metatar/tar
7789,"Other partial ostectomy, other bones",Partial ostectomy NEC
7790,"Total ostectomy, unspecified site",Total ostectomy NOS
7791,"Total ostectomy, scapula, clavicle, and thorax [ribs and sternum]",Tot chest cage ostectomy
7792,"Total ostectomy, humerus",Total ostectomy-humerus
7793,"Total ostectomy, radius and ulna",Tot ostect-radius/ulna
7794,"Total ostectomy, carpals and metacarpals",Tot ostect-metacarp/carp
7795,"Total ostectomy, femur",Tot ostectomy-femur
7796,"Total ostectomy, patella",Total patellectomy
7797,"Total ostectomy, tibia and fibula",Tot ostect-tibia/fibula
7798,"Total ostectomy, tarsals and metatarsals",Tot ostect-metatars/tars
7799,"Total ostectomy, other bones",Total ostectomy NEC
7800,"Bone graft, unspecified site",Bone graft NOS
7801,"Bone graft, scapula, clavicle, and thorax [ribs and sternum]",Bone graft to chest cage
7802,"Bone graft, humerus",Bone graft to humerus
7803,"Bone graft, radius and ulna",Bone graft-radius/ulna
7804,"Bone graft, carpals and metacarpals",Bone grft to metacar/car
7805,"Bone graft, femur",Bone graft to femur
7806,"Bone graft, patella",Bone graft to patella
7807,"Bone graft, tibia and fibula",Bone graft-tibia/fibula
7808,"Bone graft, tarsals and metatarsals",Bone graft-metatar/tar
7809,"Bone graft, other bones",Bone graft NEC
7810,"Application of external fixator device, unspecified site",Applic ext fix dev NOS
7811,"Application of external fixator device, scapula, clavicle, and thorax [ribs and sternum]",Appl ext fix-chest cage
7812,"Application of external fixator device, humerus",Applic ext fix-humerus
7813,"Application of external fixator device, radius and ulna",Appl ext fix-radius/ulna
7814,"Application of external fixator device, carpals and metacarpals",Appl ext fix-metacar/car
7815,"Application of external fixator device, femur",Applic ext fix dev-femur
7816,"Application of external fixator device, patella",Appl ext fix dev-patella
7817,"Application of external fixator device, tibia and fibula",Appl ext fix-tib/fibula
7818,"Application of external fixator device, tarsals and metatarsals",Appl ext fix-metatar/tar
7819,"Application of external fixator device, other bones",Applic ext fix dev NEC
7820,"Limb shortening procedures, unspecified site",Limb shorten proc NOS
7822,"Limb shortening procedures, humerus",Limb short proc-humerus
7823,"Limb shortening procedures, radius and ulna",Limb shorten-radius/ulna
7824,"Limb shortening procedures, carpals and metacarpals",Limb shorten-metacar/car
7825,"Limb shortening procedures, femur",Limb short proc-femur
7827,"Limb shortening procedures, tibia and fibula",Limb shorten-tib/fibula
7828,"Limb shortening procedures, tarsals and metatarsals",Limb shorten-metatar/tar
7829,"Limb shortening procedures, other bones",Limb shorten proc NEC
7830,"Limb lengthening procedures, unspecified site",Limb lengthen proc NOS
7832,"Limb lengthening procedures, humerus",Limb length proc-humerus
7833,"Limb lengthening procedures, radius and ulna",Limb length-radius/ulna
7834,"Limb lengthening procedures, carpals and metacarpals",Limb length-metacar/car
7835,"Limb lengthening procedures, femur",Limb length proc-femur
7837,"Limb lengthening procedures, tibia and fibula",Limb lengthen-tib/fibula
7838,"Limb lengthening procedures, tarsals and metatarsals",Limb lengthn-metatar/tar
7839,"Limb lengthening procedures, other bones",Limb lengthen proc NEC
7840,"Other repair or plastic operations on bone, unspecified site",Oth bone repair/plast op
7841,"Other repair or plastic operations on bone, scapula, clavicle, and thorax [ribs and sternum]",Oth chest cage rep/plast
7842,"Other repair or plastic operations on bone, humerus",Oth humerus repair/plast
7843,"Other repair or plastic operations on bone, radius and ulna",Oth rad/uln repair/plast
7844,"Other repair or plastic operations on bone, carpals and metacarpals",Oth metac/carp rep/plast
7845,"Other repair or plastic operations on bone, femur",Oth femur repair/plastic
7846,"Other repair or plastic operations on bone, patella",Oth patella repair/plast
7847,"Other repair or plastic operations on bone, tibia and fibula",Oth tib/fib repair/plast
7848,"Other repair or plastic operations on bone, tarsals and metatarsals",Oth meta/tar repa/plast
7849,"Other repair or plastic operations on bone, other bones",Oth bone repa/plast NEC
7850,"Internal fixation of bone without fracture reduction, unspecified site",Int fix w/o fx reduc NOS
7851,"Internal fixation of bone without fracture reduction, scapula, clavicle, and thorax [ribs and sternum]",Int fixation-chest cage
7852,"Internal fixation of bone without fracture reduction, humerus",Int fixation-humerus
7853,"Internal fixation of bone without fracture reduction, radius and ulna",Int fixation-radius/ulna
