"icd_10_pcs","description","ccs_code_and_description","specialty_cohort"
"0TP500Z","Removal of Drainage Device from Kidney, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP502Z","Removal of Monitoring Device from Kidney, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP503Z","Removal of Infusion Device from Kidney, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP507Z","Removal of Autologous Tissue Substitute from Kidney, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP50CZ","Removal of Extraluminal Device from Kidney, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP50DZ","Removal of Intraluminal Device from Kidney, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP50JZ","Removal of Synthetic Substitute from Kidney, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP50KZ","Removal of Nonautologous Tissue Substitute from Kidney, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP50YZ","Removal of Other Device from Kidney, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP530Z","Removal of Drainage Device from Kidney, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP532Z","Removal of Monitoring Device from Kidney, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP533Z","Removal of Infusion Device from Kidney, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP537Z","Removal of Autologous Tissue Substitute from Kidney, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP53CZ","Removal of Extraluminal Device from Kidney, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP53DZ","Removal of Intraluminal Device from Kidney, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP53JZ","Removal of Synthetic Substitute from Kidney, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP53KZ","Removal of Nonautologous Tissue Substitute from Kidney, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP540Z","Removal of Drainage Device from Kidney, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP542Z","Removal of Monitoring Device from Kidney, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP543Z","Removal of Infusion Device from Kidney, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP547Z","Removal of Autologous Tissue Substitute from Kidney, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP54CZ","Removal of Extraluminal Device from Kidney, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP54DZ","Removal of Intraluminal Device from Kidney, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP54JZ","Removal of Synthetic Substitute from Kidney, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP54KZ","Removal of Nonautologous Tissue Substitute from Kidney, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP577Z","Removal of Autologous Tissue Substitute from Kidney, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP57CZ","Removal of Extraluminal Device from Kidney, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP57JZ","Removal of Synthetic Substitute from Kidney, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP57KZ","Removal of Nonautologous Tissue Substitute from Kidney, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP587Z","Removal of Autologous Tissue Substitute from Kidney, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP58CZ","Removal of Extraluminal Device from Kidney, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP58JZ","Removal of Synthetic Substitute from Kidney, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP58KZ","Removal of Nonautologous Tissue Substitute from Kidney, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP58YZ","Removal of Other Device from Kidney, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP900Z","Removal of Drainage Device from Ureter, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP902Z","Removal of Monitoring Device from Ureter, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP903Z","Removal of Infusion Device from Ureter, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP907Z","Removal of Autologous Tissue Substitute from Ureter, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP90CZ","Removal of Extraluminal Device from Ureter, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP90DZ","Removal of Intraluminal Device from Ureter, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP90JZ","Removal of Synthetic Substitute from Ureter, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP90KZ","Removal of Nonautologous Tissue Substitute from Ureter, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP90MZ","Removal of Stimulator Lead from Ureter, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP90YZ","Removal of Other Device from Ureter, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP930Z","Removal of Drainage Device from Ureter, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP932Z","Removal of Monitoring Device from Ureter, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP933Z","Removal of Infusion Device from Ureter, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP937Z","Removal of Autologous Tissue Substitute from Ureter, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP93CZ","Removal of Extraluminal Device from Ureter, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP93DZ","Removal of Intraluminal Device from Ureter, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP93JZ","Removal of Synthetic Substitute from Ureter, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP93KZ","Removal of Nonautologous Tissue Substitute from Ureter, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP93MZ","Removal of Stimulator Lead from Ureter, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP940Z","Removal of Drainage Device from Ureter, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP942Z","Removal of Monitoring Device from Ureter, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP943Z","Removal of Infusion Device from Ureter, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP947Z","Removal of Autologous Tissue Substitute from Ureter, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP94CZ","Removal of Extraluminal Device from Ureter, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP94DZ","Removal of Intraluminal Device from Ureter, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP94JZ","Removal of Synthetic Substitute from Ureter, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP94KZ","Removal of Nonautologous Tissue Substitute from Ureter, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP94MZ","Removal of Stimulator Lead from Ureter, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP977Z","Removal of Autologous Tissue Substitute from Ureter, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP97CZ","Removal of Extraluminal Device from Ureter, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP97JZ","Removal of Synthetic Substitute from Ureter, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP97KZ","Removal of Nonautologous Tissue Substitute from Ureter, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP97MZ","Removal of Stimulator Lead from Ureter, Via Natural or Artificial Opening","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP987Z","Removal of Autologous Tissue Substitute from Ureter, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP98CZ","Removal of Extraluminal Device from Ureter, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP98JZ","Removal of Synthetic Substitute from Ureter, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP98KZ","Removal of Nonautologous Tissue Substitute from Ureter, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP98MZ","Removal of Stimulator Lead from Ureter, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP98YZ","Removal of Other Device from Ureter, Via Natural or Artificial Opening Endoscopic","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TP9XMZ","Removal of Stimulator Lead from Ureter, External Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TPB00Z","Removal of Drainage Device from Bladder, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TPB02Z","Removal of Monitoring Device from Bladder, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TPB03Z","Removal of Infusion Device from Bladder, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TPB07Z","Removal of Autologous Tissue Substitute from Bladder, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TPB0CZ","Removal of Extraluminal Device from Bladder, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TPB0DZ","Removal of Intraluminal Device from Bladder, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TPB0JZ","Removal of Synthetic Substitute from Bladder, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TPB0KZ","Removal of Nonautologous Tissue Substitute from Bladder, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TPB0LZ","Removal of Artificial Sphincter from Bladder, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TPB0MZ","Removal of Stimulator Lead from Bladder, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TPB0YZ","Removal of Other Device from Bladder, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TPB30Z","Removal of Drainage Device from Bladder, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TPB32Z","Removal of Monitoring Device from Bladder, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TPB33Z","Removal of Infusion Device from Bladder, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TPB37Z","Removal of Autologous Tissue Substitute from Bladder, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TPB3CZ","Removal of Extraluminal Device from Bladder, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TPB3DZ","Removal of Intraluminal Device from Bladder, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TPB3JZ","Removal of Synthetic Substitute from Bladder, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TPB3KZ","Removal of Nonautologous Tissue Substitute from Bladder, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TPB3LZ","Removal of Artificial Sphincter from Bladder, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TPB3MZ","Removal of Stimulator Lead from Bladder, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TPB40Z","Removal of Drainage Device from Bladder, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TPB42Z","Removal of Monitoring Device from Bladder, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0TPB43Z","Removal of Infusion Device from Bladder, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
